,,1,2,3,4,5,Mean % error
omega,Initial,0.062,0.171,0.413,0.575,0.699,
,Optimised,0.062,0.173,0.415,0.575,0.700,
,% Error in initial,-0.7,-0.9,-0.2,0.0,-0.1,0.377
,,,,,,,
alpha,Initial,-0.146,-2.056,-1.282,-0.472,-2.898,
,Optimised,-0.326,-1.467,-2.229,-0.157,-2.915,
,% Error in initial,55.3,-40.2,42.5,-199.6,0.6,67.614
,,,,,,,
phi,Initial,0.071,0.282,0.313,0.022,0.417,
,Optimised,0.194,0.198,0.171,-0.157,0.312,
,% Error in initial,-63.3,42.7,82.8,114.1,33.7,67.301
,,,,,,,
log10zeta,Initial,-1.605,-2.779,-2.567,-1.743,-2.380,
,Optimised,-3.260,-3.325,-2.571,-1.998,-2.676,
,% Error in initial,50.769,16.412,0.173,12.792,11.061,18.241
